Product,Month Start Date,Actual HC
CRM Data Entry Assistant Full Time,2025-05,2
CRM Data Entry Assistant Full Time Two,2025-05,2
CRM Data Entry Assistant Part Time,2025-05,2
CRM Data Entry Bilingual FT,2025-05,1
CSR Bilingual Full Time,2025-05,4
CSR Bilingual Part Time,2025-05,1
CSR Full Time,2025-05,8
CSR Full Time Mid,2025-05,5
CSR Part Time,2025-05,7
CSR Part Time Mid,2025-05,2
Customer Service FT,2025-05,6
Customer Service PT,2025-05,1
Dedicated Receptionist 8HR,2025-05,1
Dedicated SDR FT Mid,2025-05,1
Dedicated SDR Full Time,2025-05,3
Dedicated SDR Part Time,2025-05,7
Digital Marketing Assistant FT,2025-05,1
Digital Marketing Assistant FT Expert,2025-05,2
Digital Marketing Assistant PT Expert,2025-05,3
Digital Marketing Assistant PT Mid,2025-05,6
Digital Marketing FT,2025-05,1
Digital Marketing Full Time Mid Bilingual,2025-05,1
Digital Marketing PT,2025-05,2
E-Commerce Assistant Full Time Expert,2025-05,2
E-Commerce Assistant Full Time Mid,2025-05,1
Ecommerce Assistant FT,2025-05,1
Executive Assistant FT,2025-05,1
Executive Assistant Full Time,2025-05,11
Executive Assistant Full Time Expert,2025-05,2
Executive Assistant Full Time Mid,2025-05,4
Executive Assistant PT,2025-05,1
Executive Assistant Part Time,2025-05,7
Executive Assistant Part Time Mid,2025-05,1
GVA - FT,2025-05,3
GVA - PT,2025-05,5
GVA 20 Hours,2025-05,1
GVA Bilingual FT,2025-05,4
GVA Bilingual PT,2025-05,2
General Virtual Assistant Full Time,2025-05,22
General Virtual Assistant Full Time Expert,2025-05,4
General Virtual Assistant Full Time Mid,2025-05,8
General Virtual Assistant Part Time,2025-05,29
General Virtual Assistant Part Time Expert,2025-05,2
General Virtual Assistant Part Time Mid,2025-05,6
Graphic Designer Full Time Expert,2025-05,1
Graphic Designer Part Time,2025-05,1
Healthcare Assistant Bilingual FT Mid,2025-05,1
Healthcare Assistant Bilingual PT Mid,2025-05,1
Healthcare VA Full Time,2025-05,4
Healthcare VA Full Time Mid,2025-05,2
Healthcare VA Part Time,2025-05,2
Healthcare VA Part Time Mid,2025-05,1
Human Resource Assistant PT,2025-05,1
IT Helpdesk Full Time Support,2025-05,2
IT Helpdesk Part Time Support,2025-05,1
Junior WordPress/Shopify Developer Mid FT,2025-05,1
Lead Gen Full Time,2025-05,2
Lead Gen Full Time Expert,2025-05,1
Lead Gen Full Time Mid,2025-05,3
Lead Gen Part Time Mid,2025-05,1
Lead Generation Assistant (Full Time),2025-05,1
Lead Generation Assistant (Part Time),2025-05,1
Medical Scribe Full Time,2025-05,1
Medical Scribe Part Time Mid,2025-05,1
Micro Plan Bookkeeper Mid 2hr/day,2025-05,1
Micro Plan CSR 2hr/day,2025-05,3
Micro Plan EA Mid 2hr/day,2025-05,1
Micro Plan GVA Expert 2hr/day,2025-05,1
Outbound Sales Agent Full Time,2025-05,1
Outbound Sales Agent PT,2025-05,1
Personal Assistant Bilingual FT,2025-05,3
Personal Assistant Full Time Expert,2025-05,1
Personal Assistant Part Time,2025-05,1
Personal Assistant Part Time Mid,2025-05,2
Real Estate Full Time Expert,2025-05,1
Real Estate Full Time Mid,2025-05,2
Real Estate Part Time,2025-05,2
Real Estate Part Time Mid,2025-05,2
Recruitment Assistant Full Time,2025-05,1
Recruitment Assistant PT,2025-05,1
SDR FT Expert,2025-05,2
SDR Full Time,2025-05,8
SDR Full Time Expert,2025-05,6
SDR Full Time Mid,2025-05,7
SDR Part Time,2025-05,3
SDR Part Time Expert,2025-05,5
SDR Part Time Mid,2025-05,8
Social Media Full Time,2025-05,1
Social Media PT,2025-05,1
Social Media Part Time,2025-05,6
Social Media Part Time Expert,2025-05,1
US Executive Assistant PT,2025-05,1
US-Based Executive Assistant PT,2025-05,1
Airbnb Assistant FT,2025-04,1
Airbnb Assistant PT,2025-04,1
Bilingual Sales FT,2025-04,1
Bilingual Sales FT Expert,2025-04,2
Bookkeeper FT,2025-04,3
Bookkeeper Full Time,2025-04,1
Bookkeeper Full Time Expert,2025-04,4
Bookkeeper PT,2025-04,2
Bookkeeper PT Expert,2025-04,6
Bookkeeper PT Mid,2025-04,1
CRM Data Entry Assistant Part Time,2025-04,2
CRM Data Entry Assistant Part Time Mid,2025-04,1
CSR Bilingual Full Time,2025-04,6
CSR Bilingual Full Time Mid,2025-04,1
CSR Bilingual Part Time Mid,2025-04,1
CSR Full Time,2025-04,17
CSR Full Time Mid,2025-04,4
CSR Part Time,2025-04,3
Content Writer Part Time,2025-04,1
Customer Service FT,2025-04,1
Dedicated Receptionist 8H,2025-04,1
Dedicated SDR Full Time,2025-04,6
Dedicated SDR Part Time,2025-04,5
Digital Marketing Assistant FT Expert,2025-04,1
Digital Marketing Assistant FT Mid,2025-04,2
Digital Marketing Assistant PT,2025-04,2
Digital Marketing Assistant PT Expert,2025-04,3
Digital Marketing Assistant PT Mid,2025-04,5
Digital Marketing FT,2025-04,3
Digital Marketing Full Time Expert Bilingual,2025-04,1
Digital Marketing PT,2025-04,2
E-Commerce Assistant Full Time,2025-04,1
E-Commerce Assistant Full Time Expert,2025-04,2
EA Bilingual FT,2025-04,2
EA Bilingual FT Expert,2025-04,1
EA Bilingual PT Mid,2025-04,1
Ecommerce Assistant PT,2025-04,1
Executive Assistant FT,2025-04,4
Executive Assistant Full Time,2025-04,17
Executive Assistant Full Time Expert,2025-04,4
Executive Assistant Full Time Mid,2025-04,5
Executive Assistant PT,2025-04,2
Executive Assistant Part Time,2025-04,10
Executive Assistant Part Time Mid,2025-04,5
GVA - FT,2025-04,6
GVA - PT,2025-04,5
GVA Bilingual FT,2025-04,1
GVA Bilingual FT Mid,2025-04,1
GVA Bilingual PT,2025-04,1
General Virtual Assistant Full Time,2025-04,26
General Virtual Assistant Full Time Mid,2025-04,13
General Virtual Assistant Part Time,2025-04,18
General Virtual Assistant Part Time Expert,2025-04,1
General Virtual Assistant Part Time Mid,2025-04,4
Graphic Designer FT,2025-04,1
Graphic Designer Full Time,2025-04,1
Graphic Designer PT,2025-04,1
Graphic Designer Part Time Expert,2025-04,1
Healthcare Assistant Bilingual FT,2025-04,2
Healthcare Assistant Bilingual PT Mid,2025-04,1
Healthcare Dedicated Receptionist - 8 hours,2025-04,1
Healthcare VA Full Time,2025-04,2
Healthcare VA Part Time,2025-04,2
Human Resource Assistant PT Mid,2025-04,1
IT Helpdesk Full Time Support,2025-04,1
IT Helpdesk Part Time Support,2025-04,1
Junior Automation/Integration/Zapier Developer Mid FT,2025-04,1
Junior Full Stack Developer Expert FT,2025-04,1
Junior Full Stack Developer Mid,2025-04,1
Junior WordPress/Shopify Developer Mid PT,2025-04,1
Lead Gen Full Time Mid,2025-04,2
Lead Gen Part Time,2025-04,3
Lead Gen Part Time Mid,2025-04,5
Lead Generation Assistant (Full Time),2025-04,3
Lead Generation Assistant (Part Time),2025-04,1
Medical Scribe Part Time,2025-04,1
Micro Plan CSR 2hr/day,2025-04,1
Micro Plan DMA Mid 2hr/day,2025-04,1
Micro Plan EA Mid 2hr/day,2025-04,1
Micro Plan GVA,2025-04,4
Micro Plan SDR Expert 2hr/day,2025-04,1
Micro Plan SocMed,2025-04,3
Outbound Sales Agent Full Time,2025-04,2
Personal Assistant Full Time,2025-04,1
Personal Assistant Full Time Expert,2025-04,1
Real Estate Part Time,2025-04,3
SDR FT Expert,2025-04,1
SDR Full Time,2025-04,10
SDR Full Time Expert,2025-04,5
SDR Full Time Mid,2025-04,2
SDR Part Time,2025-04,7
SDR Part Time Mid,2025-04,5
Social Media Full Time,2025-04,2
Social Media Full Time Expert,2025-04,1
Social Media Full Time Mid,2025-04,2
Social Media Part Time,2025-04,3
Social Media Part Time Mid,2025-04,2
US Executive Assistant FT,2025-04,1
US-Based Lead Gen Assistant PT Mid,2025-04,1
US-Based SDR Assistant Full Time Expert,2025-04,1
Bilingual Caller FT,2025-03,1
Bilingual Caller PT,2025-03,1
Bilingual FT SDR Expert,2025-03,2
Bilingual Sales FT,2025-03,4
Bilingual Sales FT Mid,2025-03,2
"Bilingual, Spanish/English Sales Callers",2025-03,1
Bookkeeper Full Time Expert,2025-03,2
Bookkeeper Full Time Mid,2025-03,2
Bookkeeper PT,2025-03,3
Bookkeeper PT Expert,2025-03,1
CRM Data Entry Assistant Full Time,2025-03,2
CRM Data Entry Assistant Part Time,2025-03,2
CSR Bilingual Full Time,2025-03,4
CSR Bilingual Full Time Mid,2025-03,1
CSR Full Time,2025-03,15
CSR Full Time Mid,2025-03,3
CSR Part Time,2025-03,3
CSR Part Time Mid,2025-03,2
Content Writer FT Mid,2025-03,1
Customer Service FT,2025-03,5
Customer Service PT,2025-03,1
Dedicated Receptionist 8H,2025-03,1
Dedicated SDR Full Time,2025-03,5
Dedicated SDR Part Time,2025-03,4
Digital Marketing Assistant FT,2025-03,1
Digital Marketing Assistant FT Expert,2025-03,3
Digital Marketing Assistant FT Mid,2025-03,1
Digital Marketing Assistant PT,2025-03,1
Digital Marketing Assistant PT Expert,2025-03,1
Digital Marketing Assistant PT Mid,2025-03,7
Digital Marketing FT,2025-03,2
Digital Marketing PT,2025-03,4
E-Commerce Assistant Full Time,2025-03,1
E-Commerce Assistant Full Time Expert,2025-03,2
E-Commerce Assistant Part Time Expert,2025-03,1
EA Bilingual FT,2025-03,2
EA Bilingual FT Expert,2025-03,1
Ecommerce Assistant FT,2025-03,2
Ecommerce Assistant PT,2025-03,1
Executive Assistant FT,2025-03,2
Executive Assistant Full Time,2025-03,11
Executive Assistant Full Time Expert,2025-03,2
Executive Assistant Full Time Mid,2025-03,3
Executive Assistant Part Time,2025-03,6
Executive Assistant Part Time Mid,2025-03,3
GVA - FT,2025-03,4
GVA - PT,2025-03,11
GVA Bilingual FT,2025-03,1
GVA Bilingual FT Expert,2025-03,2
GVA Bilingual PT,2025-03,3
General Virtual Assistant Full Time,2025-03,32
General Virtual Assistant Full Time Expert,2025-03,3
General Virtual Assistant Full Time Mid,2025-03,14
General Virtual Assistant Part Time,2025-03,20
General Virtual Assistant Part Time Mid,2025-03,11
Graphic Designer Full Time,2025-03,1
Graphic Designer PT,2025-03,1
Healthcare Assistant Bilingual FT Expert,2025-03,3
Healthcare Dedicated Receptionist - 8 hours,2025-03,1
Healthcare VA Full Time,2025-03,8
Healthcare VA Full Time Mid,2025-03,1
Healthcare VA Part Time,2025-03,3
IT Helpdesk Full Time Support,2025-03,1
Junior Automation/Integration/Zapier Developer PT,2025-03,1
Lead Gen Bilingual FT Mid,2025-03,1
Lead Gen Full Time,2025-03,1
Lead Gen Part Time Mid,2025-03,3
Lead Generation Assistant (Full Time),2025-03,2
Lead Generation Assistant (Part Time),2025-03,1
Medical Scribe Full Time Mid,2025-03,1
Micro Plan Bookkeeper Expert 2hr/day,2025-03,2
Micro Plan EA Mid 2hr/day,2025-03,1
Micro Plan GVA,2025-03,5
Micro Plan SDR Expert 2hr/day,2025-03,1
Outbound Sales Agent Full Time,2025-03,1
Outbound Sales Agent Full Time Mid,2025-03,1
Partner Executive Assistant,2025-03,2
Personal Assistant Part Time,2025-03,2
Real Estate FT,2025-03,1
Real Estate Full Time,2025-03,1
Real Estate Part Time Mid,2025-03,1
Recruitment Assistant Full Time Mid,2025-03,1
SDR FT Expert,2025-03,5
SDR Full Time,2025-03,15
SDR Full Time Expert,2025-03,8
SDR Full Time Mid,2025-03,5
SDR Part Time,2025-03,7
SDR Part Time Expert,2025-03,1
SDR Part Time Mid,2025-03,8
Social Media Bilingual FT Expert,2025-03,1
Social Media Bilingual PT,2025-03,1
Social Media Full Time,2025-03,4
Social Media Full Time Expert,2025-03,2
Social Media Full Time Mid,2025-03,1
Social Media PT,2025-03,2
Social Media Part Time,2025-03,3
Social Media Part Time Expert,2025-03,1
US SDR PT,2025-03,1
US-Based Executive Assistant Full Time,2025-03,1
US-Based Executive Assistant PT,2025-03,1
Bilingual GVA - FT,2025-02,1
Bilingual Sales FT,2025-02,2
Bilingual Sales FT Expert,2025-02,1
Bookkeeper Full Time Expert,2025-02,1
Bookkeeper Full Time Mid,2025-02,3
Bookkeeper PT,2025-02,2
Bookkeeper PT Mid,2025-02,1
CRM Data Entry Assistant Part Time Mid,2025-02,2
CSR Bilingual Full Time,2025-02,6
CSR Bilingual Part Time,2025-02,3
CSR Full Time,2025-02,13
CSR Full Time Expert,2025-02,1
CSR Full Time Mid,2025-02,4
CSR Part Time,2025-02,3
CSR Part Time Mid,2025-02,1
Content Writer Bilingual FT Mid,2025-02,1
Content Writer FT Mid,2025-02,1
Customer Service (3) - Per VA,2025-02,3
Customer Service FT,2025-02,3
Dedicated Receptionist 8H,2025-02,3
Dedicated SDR FT Mid,2025-02,1
Dedicated SDR Full Time,2025-02,4
Dedicated SDR Part Time,2025-02,3
Digital Marketing Assistant PT,2025-02,2
Digital Marketing Assistant PT Expert,2025-02,1
Digital Marketing Assistant PT Mid,2025-02,5
Digital Marketing FT,2025-02,1
Digital Marketing PT,2025-02,3
E-Commerce Assistant Full Time,2025-02,1
E-Commerce Assistant Full Time Expert,2025-02,2
E-Commerce Assistant Part Time,2025-02,1
E-Commerce Assistant Part Time Mid,2025-02,2
Executive Assistant FT,2025-02,2
Executive Assistant Full Time,2025-02,11
Executive Assistant Full Time Expert,2025-02,2
Executive Assistant Full Time Mid,2025-02,10
Executive Assistant PT,2025-02,3
Executive Assistant Part Time,2025-02,9
Executive Assistant Part Time Expert,2025-02,2
Executive Assistant Part Time Mid,2025-02,1
GVA - FT,2025-02,7
GVA - PT,2025-02,9
GVA Bilingual FT Mid,2025-02,1
GVA Bilingual PT,2025-02,6
General Virtual Assistant Full Time,2025-02,26
General Virtual Assistant Full Time Expert,2025-02,1
General Virtual Assistant Full Time Mid,2025-02,6
General Virtual Assistant Part Time,2025-02,34
General Virtual Assistant Part Time Mid,2025-02,9
Graphic Designer Full Time,2025-02,1
Graphic Designer Full Time Mid,2025-02,1
Healthcare Assistant Bilingual FT,2025-02,1
Healthcare VA Full Time,2025-02,5
Healthcare VA Part Time,2025-02,4
Lead Gen Full Time Expert,2025-02,1
Lead Gen Part Time,2025-02,1
Lead Gen Part Time Mid,2025-02,1
Lead Generation Assistant (Full Time),2025-02,1
Medical Scribe Full Time,2025-02,2
Micro Plan DMA,2025-02,1
Micro Plan EA,2025-02,1
Micro Plan EA Mid 2hr/day,2025-02,1
Micro Plan Lead Gen Expert 2hr/day,2025-02,1
Micro Plan SDR Mid 2hr/day,2025-02,1
Outbound Sales Agent Full Time,2025-02,1
Outbound Sales Agent PT,2025-02,1
Personal Assistant Part Time,2025-02,1
Real Estate Full Time,2025-02,1
Real Estate PT,2025-02,1
Recruitment Assistant PT,2025-02,1
SDR FT Expert,2025-02,5
SDR Full Time,2025-02,12
SDR Full Time Expert,2025-02,3
SDR Full Time Mid,2025-02,4
SDR Part Time Expert,2025-02,4
SDR Part Time Mid,2025-02,3
Social Media Bilingual FT Expert,2025-02,1
Social Media Bilingual PT,2025-02,1
Social Media FT,2025-02,1
Social Media Full Time Mid,2025-02,6
Social Media Part Time,2025-02,2
Social Media Part Time Expert,2025-02,2
Social Media Part Time Mid,2025-02,1
US-Based Bookkeeper Assistant 10 HRS Expert,2025-02,1
US-Based Lead Gen Assistant PT Mid,2025-02,2
Bilingual Caller FT,2025-01,1
Bilingual GVA - PT,2025-01,1
Bilingual Sales FT Mid,2025-01,1
Bookkeeper FT,2025-01,4
Bookkeeper PT,2025-01,4
Bookkeeper PT Expert,2025-01,3
Bookkeeper PT Mid,2025-01,1
CRM Data Entry Assistant Full Time,2025-01,3
CRM Data Entry Assistant Full Time Mid,2025-01,1
CRM Data Entry Assistant Part Time,2025-01,2
CSR Bilingual Full Time,2025-01,4
CSR Bilingual Part Time,2025-01,2
CSR Full Time,2025-01,28
CSR Full Time Mid,2025-01,4
CSR Part Time,2025-01,4
Customer Service FT,2025-01,4
Dedicated SDR - PT,2025-01,1
Dedicated SDR FT Mid,2025-01,2
Dedicated SDR Full Time,2025-01,9
Dedicated SDR Part Time,2025-01,4
Digital Marketing Assistant FT Mid,2025-01,1
Digital Marketing Assistant PT Mid,2025-01,2
Digital Marketing FT,2025-01,1
Digital Marketing PT,2025-01,2
Digital Marketing Part Time Bilingual,2025-01,1
E-Commerce Assistant Part Time Mid,2025-01,1
EA Bilingual FT,2025-01,1
EA Bilingual FT Mid,2025-01,1
Ecommerce Assistant FT,2025-01,4
Ecommerce Assistant PT,2025-01,2
Executive Assistant FT,2025-01,1
Executive Assistant Full Time,2025-01,6
Executive Assistant Full Time Expert,2025-01,4
Executive Assistant Full Time Mid,2025-01,2
Executive Assistant Part Time,2025-01,5
Executive Assistant Part Time Mid,2025-01,4
GVA - FT,2025-01,9
GVA - PT,2025-01,8
GVA Bilingual FT,2025-01,1
GVA Bilingual FT Mid,2025-01,3
General Virtual Assistant Full Time,2025-01,24
General Virtual Assistant Full Time Expert,2025-01,3
General Virtual Assistant Full Time Mid,2025-01,3
General Virtual Assistant Part Time,2025-01,23
General Virtual Assistant Part Time Mid,2025-01,3
Graphic Designer Part Time,2025-01,2
Healthcare Assistant Bilingual FT,2025-01,2
Healthcare VA Full Time,2025-01,10
Healthcare VA Part Time,2025-01,1
Healthcare VA Part Time Expert,2025-01,1
Lead Gen Part Time,2025-01,2
Lead Gen Part Time Mid,2025-01,1
Lead Generation Assistant (Full Time),2025-01,1
Lead Generation Assistant (Part Time),2025-01,3
Medical Scribe Full Time,2025-01,2
Micro Plan EA Mid 2hr/day,2025-01,1
Micro Plan GVA Mid 2hr/day,2025-01,1
Micro Plan Graphic Design Expert 2hr/day,2025-01,1
Micro Plan Lead Gen,2025-01,1
Outbound Sales Agent Full Time,2025-01,1
Outbound Sales Agent PT,2025-01,1
Personal Assistant Full Time,2025-01,2
Personal Assistant Part Time Mid,2025-01,1
Real Estate Bilingual PT,2025-01,1
Real Estate Full Time,2025-01,4
Real Estate Part Time,2025-01,2
SDR Full Time,2025-01,2
SDR Full Time Expert,2025-01,3
SDR Full Time Mid,2025-01,2
SDR Part Time,2025-01,4
SDR Part Time Expert,2025-01,2
SDR Part Time Mid,2025-01,1
Social Media Full Time,2025-01,2
Social Media PT,2025-01,2
Social Media Part Time,2025-01,1
US-Based Digital Marketing Assistant PT Mid,2025-01,1
US-Based Executive Assistant Full Time Expert,2025-01,1
US-Based SDR Assistant Full Time Mid,2025-01,1
Bilingual FT SDR Expert,2024-12,1
Bilingual GVA - PT,2024-12,1
Bilingual Sales PT Mid,2024-12,2
Bookkeeper Full Time Expert,2024-12,1
Bookkeeper Full Time Mid,2024-12,1
Bookkeeper PT,2024-12,4
Bookkeeper PT Expert,2024-12,1
Bookkeeper PT Mid,2024-12,1
CSR Bilingual Full Time,2024-12,7
CSR Full Time,2024-12,6
CSR Full Time Expert,2024-12,1
CSR Part Time Mid,2024-12,1
Customer Service PT,2024-12,1
Dedicated SDR FT Mid,2024-12,1
Dedicated SDR Full Time,2024-12,3
Dedicated SDR Part Time,2024-12,3
Digital Marketing Assistant FT Expert,2024-12,1
Digital Marketing Assistant FT Mid,2024-12,1
Digital Marketing Assistant PT Mid,2024-12,2
Digital Marketing FT,2024-12,4
Digital Marketing PT,2024-12,2
EA Bilingual FT,2024-12,2
Ecommerce Assistant FT,2024-12,1
Executive Assistant FT,2024-12,2
Executive Assistant Full Time,2024-12,8
Executive Assistant Full Time Expert,2024-12,1
Executive Assistant Full Time Mid,2024-12,1
Executive Assistant PT,2024-12,1
Executive Assistant Part Time,2024-12,4
Executive Assistant Part Time Expert,2024-12,1
Executive Assistant Part Time Mid,2024-12,3
GVA - FT,2024-12,7
GVA - PT,2024-12,8
GVA Bilingual FT,2024-12,1
General Virtual Assistant Full Time,2024-12,20
General Virtual Assistant Full Time Mid,2024-12,2
General Virtual Assistant Part Time,2024-12,9
General Virtual Assistant Part Time Mid,2024-12,5
Graphic Designer PT,2024-12,1
Healthcare VA Full Time,2024-12,4
Healthcare VA Full Time Mid,2024-12,3
Lead Gen Full Time,2024-12,3
Lead Gen Full Time Expert,2024-12,1
Lead Gen Part Time,2024-12,3
Medical Scribe Bilingual FT,2024-12,1
Medical Scribe Full Time,2024-12,1
Medical Scribe Full Time Expert,2024-12,1
Micro Plan GVA,2024-12,1
Personal Assistant Full Time,2024-12,2
Personal Assistant Part Time,2024-12,4
Real Estate FT,2024-12,1
Real Estate Full Time,2024-12,2
Real Estate Full Time Mid,2024-12,1
SDR FT Expert,2024-12,2
SDR Full Time,2024-12,4
SDR Full Time Expert,2024-12,5
SDR Full Time Mid,2024-12,3
SDR Part Time,2024-12,4
SDR Part Time Expert,2024-12,6
SDR Part Time Mid,2024-12,4
Social Media Bilingual FT Mid,2024-12,3
Social Media FT,2024-12,4
Social Media Full Time,2024-12,1
Social Media Full Time Mid,2024-12,3
Social Media PT,2024-12,2
Social Media Part Time,2024-12,5
Social Media Part Time Expert,2024-12,1
US Executive Assistant PT,2024-12,1
US-Based General Virtual Assistant 10 HRS,2024-12,1
US-Based SDR Assistant Full Time Expert,2024-12,2
Bilingual GVA - PT,2024-11,1
Bilingual GVA Full Time,2024-11,1
Bilingual Sales FT Expert,2024-11,1
Bookkeeper FT,2024-11,2
Bookkeeper Full Time Expert,2024-11,1
Bookkeeper Full Time Mid,2024-11,1
Bookkeeper PT,2024-11,4
Bookkeeper PT Expert,2024-11,1
Bookkeeper PT Mid,2024-11,1
CRM Data Entry Assistant Full Time,2024-11,1
CRM Data Entry Assistant Part Time,2024-11,1
CSR Bilingual Full Time,2024-11,8
CSR Full Time,2024-11,14
CSR Full Time Mid,2024-11,1
CSR Part Time,2024-11,4
CSR Part Time Mid,2024-11,1
Content Writer Full Time Mid,2024-11,1
Content Writer Part Time,2024-11,1
Customer Service FT,2024-11,3
Dedicated SDR Full Time,2024-11,4
Dedicated SDR Part Time,2024-11,5
Digital Marketing Assistant FT Expert,2024-11,2
Digital Marketing Assistant FT Mid,2024-11,1
Digital Marketing Assistant PT,2024-11,1
Digital Marketing Assistant PT Expert,2024-11,1
Digital Marketing Assistant PT Mid,2024-11,4
Digital Marketing FT,2024-11,4
Digital Marketing PT,2024-11,1
E-Commerce Assistant Full Time,2024-11,1
E-Commerce Assistant Full Time Expert,2024-11,1
EA Bilingual FT,2024-11,4
EA Bilingual FT Mid,2024-11,1
EA Bilingual PT Mid,2024-11,1
Ecommerce Assistant PT,2024-11,1
Executive Assistant Full Time,2024-11,9
Executive Assistant Full Time Expert,2024-11,3
Executive Assistant Full Time Mid,2024-11,4
Executive Assistant PT,2024-11,1
Executive Assistant Part Time,2024-11,6
Executive Assistant Part Time Expert,2024-11,2
Executive Assistant Part Time Mid,2024-11,1
GVA - FT,2024-11,9
GVA - PT,2024-11,7
GVA Bilingual PT,2024-11,1
General Virtual Assistant Full Time,2024-11,16
General Virtual Assistant Full Time Expert,2024-11,3
General Virtual Assistant Full Time Mid,2024-11,2
General Virtual Assistant Part Time,2024-11,21
General Virtual Assistant Part Time Mid,2024-11,2
Graphic Designer FT,2024-11,1
Graphic Designer Part Time,2024-11,1
Healthcare VA Full Time,2024-11,5
Healthcare VA Full Time Mid,2024-11,1
Healthcare VA Part Time,2024-11,1
Healthcare VA Part Time Expert,2024-11,1
Lead Gen Part Time,2024-11,1
Lead Gen Part Time Expert,2024-11,2
Lead Generation Assistant (Full Time),2024-11,1
Lead Generation Assistant (Part Time),2024-11,1
Medical Scribe Bilingual FT,2024-11,1
Medical Scribe Full Time,2024-11,5
Micro Plan Content Writer Expert 2hr/day,2024-11,1
Micro Plan GVA Mid 2hr/day,2024-11,1
Micro Plan SDR,2024-11,1
Personal Assistant Full Time,2024-11,3
Personal Assistant Full Time Mid,2024-11,1
Personal Assistant Part Time,2024-11,3
Real Estate Full Time,2024-11,2
Real Estate Full Time Mid,2024-11,1
Real Estate Part Time,2024-11,1
SDR Full Time,2024-11,4
SDR Full Time Expert,2024-11,1
SDR Full Time Mid,2024-11,7
SDR Part Time,2024-11,5
SDR Part Time Expert,2024-11,4
Social Media Bilingual FT,2024-11,3
Social Media Full Time,2024-11,2
Social Media Full Time Mid,2024-11,1
Social Media Part Time,2024-11,2
US-Based Executive Assistant 10 HRS,2024-11,1
Bilingual GVA - PT,2024-10,1
"Bilingual, Spanish/English Sales Callers",2024-10,1
Bookkeeper FT,2024-10,2
Bookkeeper Full Time Expert,2024-10,2
Bookkeeper PT,2024-10,3
Bookkeeper PT Mid,2024-10,1
CRM Data Entry Assistant Part Time,2024-10,2
CSR Bilingual Full Time,2024-10,17
CSR Bilingual Part Time,2024-10,1
CSR Full Time,2024-10,10
CSR Full Time Expert,2024-10,1
CSR Full Time Mid,2024-10,2
CSR Part Time,2024-10,6
Customer Service FT,2024-10,3
Dedicated Receptionist 8H,2024-10,2
Dedicated SDR FT Mid,2024-10,4
Dedicated SDR Full Time,2024-10,8
Dedicated SDR Part Time,2024-10,8
Digital Marketing Assistant FT Mid,2024-10,1
Digital Marketing Assistant PT,2024-10,1
Digital Marketing Assistant PT Expert,2024-10,2
Digital Marketing Assistant PT Mid,2024-10,2
Digital Marketing FT,2024-10,1
Digital Marketing PT,2024-10,2
E-Commerce Assistant Full Time Expert,2024-10,1
EA Bilingual FT,2024-10,2
EA Bilingual PT,2024-10,1
Ecommerce Assistant PT,2024-10,3
Executive Assistant FT,2024-10,1
Executive Assistant Full Time,2024-10,6
Executive Assistant Full Time Expert,2024-10,5
Executive Assistant PT,2024-10,2
Executive Assistant Part Time,2024-10,7
Executive Assistant Part Time Mid,2024-10,1
GVA - FT,2024-10,10
GVA - PT,2024-10,11
GVA 40 Hours,2024-10,1
GVA Bilingual FT Mid,2024-10,2
General Virtual Assistant Full Time,2024-10,22
General Virtual Assistant Full Time Expert,2024-10,3
General Virtual Assistant Full Time Mid,2024-10,8
General Virtual Assistant Part Time,2024-10,33
General Virtual Assistant Part Time Mid,2024-10,3
Graphic Designer Part Time,2024-10,1
Healthcare Assistant Bilingual FT,2024-10,1
Healthcare VA Full Time,2024-10,2
Healthcare VA Full Time Mid,2024-10,2
Healthcare VA Part Time,2024-10,2
IT Helpdesk Part Time Support,2024-10,2
Lead Gen Part Time,2024-10,1
Lead Generation Assistant (Part Time),2024-10,3
Medical Scribe Part Time,2024-10,1
Micro Plan DMA Mid 2hr/day,2024-10,1
Micro Plan GVA,2024-10,2
Micro Plan GVA Mid 2hr/day,2024-10,2
Micro Plan SDR,2024-10,1
Partner Executive Assistant,2024-10,1
Personal Assistant Full Time,2024-10,2
Personal Assistant Full Time Expert,2024-10,1
Personal Assistant Part Time,2024-10,2
Real Estate Full Time,2024-10,1
Real Estate Full Time Mid,2024-10,2
Real Estate PT,2024-10,1
Real Estate Part Time,2024-10,1
Recruitment Assistant Full Time,2024-10,1
Recruitment Assistant Full Time Expert,2024-10,5
SDR Full Time,2024-10,7
SDR Full Time Expert,2024-10,5
SDR Full Time Mid,2024-10,2
SDR Part Time,2024-10,5
SDR Part Time Expert,2024-10,3
SDR Part Time Mid,2024-10,8
Social Media Full Time,2024-10,3
Social Media Part Time,2024-10,3
Social Media Part Time Mid,2024-10,1
US-Based Digital Marketing Assistant Full Time,2024-10,1
US-Based Executive Assistant 10 HRS,2024-10,1
US-Based Executive Assistant Full Time,2024-10,1
US-Based Executive Assistant PT,2024-10,1
US-Based SDR Assistant PT Mid,2024-10,2
Web Developer,2024-10,1
Bilingual GVA - FT,2024-09,1
Bilingual Sales FT,2024-09,1
"Bilingual, Spanish/English Sales Callers",2024-09,1
Bookkeeper FT,2024-09,1
Bookkeeper Full Time Mid,2024-09,1
Bookkeeper PT,2024-09,4
Bookkeeper PT Expert,2024-09,1
Bookkeeper PT Mid,2024-09,2
CSR Bilingual Full Time,2024-09,4
CSR Full Time,2024-09,7
